"ID","Source File","Section / Heading","Extracted Text","Issue Type","Severity","Recommended Treatment","Known Decision / Recommended Answer","Question for Alex / Committee","Proposed Codex Action After Answer","Status"
"DEC-011","01_drafting/application-form/draft/EDrill_Family_Bursary_Application_Form_DRAFT.md","2. Applicant Details","| Current assignment, if applicable | |","Wording Choice","Minor","Decide","","Which wording or option should be retained in the final issue version?","Remove alternatives and retain the selected wording.","Needs Alex Decision"
"DEC-012","01_drafting/application-form/draft/EDrill_Family_Bursary_Application_Form_DRAFT.md","6. Requested Support","| Employee bank details provided, if applicable | Yes / No / Not applicable |","Wording Choice","Minor","Decide","","Which wording or option should be retained in the final issue version?","Remove alternatives and retain the selected wording.","Needs Alex Decision"
"DEC-013","01_drafting/application-form/draft/EDrill_Family_Bursary_Application_Form_DRAFT.md","6. Requested Support","| Labour-hire agency payment details provided, if applicable | Yes / No / Not applicable |","Wording Choice","Minor","Decide","","Which wording or option should be retained in the final issue version?","Remove alternatives and retain the selected wording.","Needs Alex Decision"
"DEC-014","01_drafting/application-form/draft/EDrill_Family_Bursary_Application_Form_DRAFT.md","8. Dependants and Hardship Information","| Brief description, if applicable | |","Wording Choice","Minor","Decide","","Which wording or option should be retained in the final issue version?","Remove alternatives and retain the selected wording.","Needs Alex Decision"
"DEC-015","01_drafting/application-form/draft/EDrill_Family_Bursary_Application_Form_DRAFT.md","8. Dependants and Hardship Information","Do not provide detailed medical, financial, or sensitive personal records unless HR has specifically requested them and the privacy notice allows this.","Warning / Control Text","Administrative","Keep as warning/control","","","Leave unchanged unless final policy tone requires shortening.","Keep"
"DEC-016","01_drafting/application-form/draft/EDrill_Family_Bursary_Application_Form_DRAFT.md","10. Documents Attached","- [ ] Labour-hire agency employment / assignment verification, if applicable","Wording Choice","Minor","Decide","","Which wording or option should be retained in the final issue version?","Remove alternatives and retain the selected wording.","Needs Alex Decision"
"DEC-017","01_drafting/application-form/draft/EDrill_Family_Bursary_Application_Form_DRAFT.md","10. Documents Attached","Finance verifies salary eligibility internally. Do not attach a payslip unless Finance later requires it as an exception.","Warning / Control Text","Administrative","Keep as warning/control","EDrill employee payments go through normal payroll into the employee bank account as a payslip line item.","","Leave unchanged unless final policy tone requires shortening.","Keep"
"DEC-018","01_drafting/application-form/draft/EDrill_Family_Bursary_Application_Form_DRAFT.md","11. Applicant Declaration","I understand that the Bursary is discretionary, limited, subject to eligibility and available places, and not automatically renewed.","Approval Evidence Needed","Administrative","Convert to approval evidence item","","What evidence, approver, and completion date should be recorded for this item?","Record completion evidence or keep as launch gate.","Needs Committee Approval"
"DEC-019","01_drafting/application-form/draft/EDrill_Family_Bursary_Evidence_Checklist_DRAFT.md","The EDrill Family Bursary - Evidence Checklist","Important: final evidence requirements follow the Decision Log and must be administered by HR, Finance, Payroll, and the Committee before use.","Warning / Control Text","Administrative","Keep as warning/control","EDrill employee payments go through normal payroll into the employee bank account as a payslip line item.","","Leave unchanged unless final policy tone requires shortening.","Keep"
"DEC-020","01_drafting/application-form/draft/EDrill_Family_Bursary_Evidence_Checklist_DRAFT.md","3. Labour-Hire Agency Evidence, If Applicable","| Labour-hire agency employment verified | If applicable | | labour-hire agency / Operations | |","Wording Choice","Minor","Decide","","Which wording or option should be retained in the final issue version?","Remove alternatives and retain the selected wording.","Needs Alex Decision"
"DEC-021","01_drafting/application-form/draft/EDrill_Family_Bursary_Evidence_Checklist_DRAFT.md","3. Labour-Hire Agency Evidence, If Applicable","| Assignment to EDrill rig verified | If applicable | | Operations | |","Wording Choice","Minor","Decide","","Which wording or option should be retained in the final issue version?","Remove alternatives and retain the selected wording.","Needs Alex Decision"
"DEC-022","01_drafting/application-form/draft/EDrill_Family_Bursary_Evidence_Checklist_DRAFT.md","3. Labour-Hire Agency Evidence, If Applicable","| Continuous work since 1 Jan 2025 verified | If applicable | | Operations / labour-hire agency | |","Wording Choice","Minor","Decide","","Which wording or option should be retained in the final issue version?","Remove alternatives and retain the selected wording.","Needs Alex Decision"
"DEC-023","01_drafting/application-form/draft/EDrill_Family_Bursary_Evidence_Checklist_DRAFT.md","6. Payment Evidence","Finance verifies salary eligibility internally. Applicants should not be required to submit a payslip unless Finance later requires it as an exception.","Warning / Control Text","Administrative","Keep as warning/control","EDrill employee payments go through normal payroll into the employee bank account as a payslip line item.","","Leave unchanged unless final policy tone requires shortening.","Keep"
"DEC-024","01_drafting/committee-terms-of-reference/draft/EDrill_Family_Bursary_Committee_Review_Sheet_DRAFT.md","The EDrill Family Bursary - Committee Review Sheet","Use: For committee review and award recommendation.","Decision Needed","Minor","Decide","","Should this advisory or decision-like wording remain in the final issue version?","Update affected document after Alex/Committee answer.","Needs Alex Decision"
"DEC-025","01_drafting/committee-terms-of-reference/draft/EDrill_Family_Bursary_Committee_Review_Sheet_DRAFT.md","The EDrill Family Bursary - Committee Review Sheet","Important: the final scoring method must be approved before use.","Warning / Control Text","Administrative","Keep as warning/control","","","Leave unchanged unless final policy tone requires shortening.","Keep"
"DEC-026","01_drafting/committee-terms-of-reference/draft/EDrill_Family_Bursary_Committee_Review_Sheet_DRAFT.md","3. Eligibility Screening Result","| labour-hire agency checks complete, if applicable | Pass / Fail / N/A | |","Wording Choice","Minor","Decide","","Which wording or option should be retained in the final issue version?","Remove alternatives and retain the selected wording.","Needs Alex Decision"
"DEC-027","01_drafting/committee-terms-of-reference/draft/EDrill_Family_Bursary_Committee_Review_Sheet_DRAFT.md","5. Tie-Breaker Review, If Required","| Committee Chair decision with reasons | |","Decision Needed","Minor","Decide","","Should this advisory or decision-like wording remain in the final issue version?","Update affected document after Alex/Committee answer.","Needs Alex Decision"
"DEC-028","01_drafting/committee-terms-of-reference/draft/EDrill_Family_Bursary_Committee_Review_Sheet_DRAFT.md","6. Committee Recommendation","| Recommendation | Tick / notes |","Decision Needed","Minor","Decide","","Should this advisory or decision-like wording remain in the final issue version?","Update affected document after Alex/Committee answer.","Needs Alex Decision"
"DEC-029","01_drafting/committee-terms-of-reference/draft/EDrill_Family_Bursary_Committee_Review_Sheet_DRAFT.md","6. Committee Recommendation","| Recommend award | |","Decision Needed","Minor","Decide","","Should this advisory or decision-like wording remain in the final issue version?","Update affected document after Alex/Committee answer.","Needs Alex Decision"
"DEC-030","01_drafting/committee-terms-of-reference/draft/EDrill_Family_Bursary_Committee_Review_Sheet_DRAFT.md","6. Committee Recommendation","| Recommend award with conditions | |","Decision Needed","Minor","Decide","","Should this advisory or decision-like wording remain in the final issue version?","Update affected document after Alex/Committee answer.","Needs Alex Decision"
"DEC-031","01_drafting/committee-terms-of-reference/draft/EDrill_Family_Bursary_Committee_Review_Sheet_DRAFT.md","6. Committee Recommendation","| Do not recommend award | |","Warning / Control Text","Administrative","Keep as warning/control","","","Leave unchanged unless final policy tone requires shortening.","Keep"
"DEC-032","01_drafting/committee-terms-of-reference/draft/EDrill_Family_Bursary_Committee_Review_Sheet_DRAFT.md","7. Recommended Award Details","| Recommended award amount | THB |","Decision Needed","Minor","Decide","","Should this advisory or decision-like wording remain in the final issue version?","Update affected document after Alex/Committee answer.","Needs Alex Decision"
"DEC-033","01_drafting/committee-terms-of-reference/draft/EDrill_Family_Bursary_Committee_Review_Sheet_DRAFT.md","7. Recommended Award Details","| Recommended payment route | EDrill employee payroll-session bank payment / labour-hire agency onward payment / approved exception |","Already Decided / Needs Propagation","Minor","No action","EDrill employee payments go through normal payroll into the employee bank account as a payslip line item.","","Leave unchanged if wording already reflects known decision.","Already Answered"
"DEC-034","01_drafting/committee-terms-of-reference/draft/EDrill_Family_Bursary_Committee_Review_Sheet_DRAFT.md","8. Reasons","Record concise reasons for the decision or recommendation.","Decision Needed","Minor","Decide","","Should this advisory or decision-like wording remain in the final issue version?","Update affected document after Alex/Committee answer.","Needs Alex Decision"
"DEC-035","01_drafting/committee-terms-of-reference/draft/EDrill_Family_Bursary_Committee_Review_Sheet_DRAFT.md","9. Approval / Escalation","| Final decision | Approved / declined / deferred |","Wording Choice","Minor","Decide","","Which wording or option should be retained in the final issue version?","Remove alternatives and retain the selected wording.","Needs Alex Decision"
"DEC-036","01_drafting/committee-terms-of-reference/draft/EDrill_Family_Bursary_Committee_Review_Sheet_DRAFT.md","9. Approval / Escalation","| Final decision date | |","Decision Needed","Minor","Decide","","Should this advisory or decision-like wording remain in the final issue version?","Update affected document after Alex/Committee answer.","Needs Alex Decision"
"DEC-037","01_drafting/committee-terms-of-reference/draft/EDrill_Family_Bursary_Conflict_of_Interest_Declaration_DRAFT.md","6. HR / Chair Review","| Reviewer | Decision / action confirmed | Date |","Decision Needed","Minor","Decide","","Should this advisory or decision-like wording remain in the final issue version?","Update affected document after Alex/Committee answer.","Needs Alex Decision"
"DEC-038","01_drafting/committee-terms-of-reference/README.md","Committee Terms of Reference","This folder contains the committee terms of reference, including role definitions, decision rights, meeting expectations, and governance boundaries.","Decision Needed","Minor","Decide","","Should this advisory or decision-like wording remain in the final issue version?","Update affected document after Alex/Committee answer.","Needs Alex Decision"
"DEC-039","01_drafting/decisions/EDrill_Family_Bursary_Decision_Log.md","The EDrill Family Bursary - Decision Log","Working status: live decision register","Decision Needed","Minor","Decide","","Should this advisory or decision-like wording remain in the final issue version?","Update affected document after Alex/Committee answer.","Needs Alex Decision"
"DEC-040","01_drafting/decisions/EDrill_Family_Bursary_Decision_Log.md","The EDrill Family Bursary - Decision Log","Rule: no item should be treated as approved unless the decision, owner, date, and evidence/source are recorded.","Warning / Control Text","Administrative","Keep as warning/control","","","Leave unchanged unless final policy tone requires shortening.","Keep"
"DEC-041","01_drafting/decisions/EDrill_Family_Bursary_Decision_Log.md","1. Decision Status Key","- Approved: decision confirmed by accountable owner.","Decision Needed","Minor","Decide","","Should this advisory or decision-like wording remain in the final issue version?","Update affected document after Alex/Committee answer.","Needs Alex Decision"
"DEC-042","01_drafting/decisions/EDrill_Family_Bursary_Decision_Log.md","1. Decision Status Key","- Provisional: working assumption allowed for drafting, but not for launch.","Decision Needed","Minor","Decide","","Should this advisory or decision-like wording remain in the final issue version?","Update affected document after Alex/Committee answer.","Needs Alex Decision"
"DEC-043","01_drafting/decisions/EDrill_Family_Bursary_Decision_Log.md","1. Decision Status Key","- Open: decision not yet made.","Approval Evidence Needed","Administrative","Convert to approval evidence item","","What evidence, approver, and completion date should be recorded for this item?","Record completion evidence or keep as launch gate.","Needs Committee Approval"
"DEC-044","01_drafting/decisions/EDrill_Family_Bursary_Decision_Log.md","1. Decision Status Key","- Blocked: decision cannot be made until another action is completed.","Decision Needed","Minor","Decide","","Should this advisory or decision-like wording remain in the final issue version?","Update affected document after Alex/Committee answer.","Needs Alex Decision"
"DEC-045","01_drafting/decisions/EDrill_Family_Bursary_Decision_Log.md","1. Decision Status Key","- Superseded: earlier decision replaced by a later approved decision.","Decision Needed","Minor","Decide","","Should this advisory or decision-like wording remain in the final issue version?","Update affected document after Alex/Committee answer.","Needs Alex Decision"
"DEC-046","01_drafting/decisions/EDrill_Family_Bursary_Decision_Log.md","2. Approval Rules","- Conflict-of-interest and confidentiality declarations before Committee review or decision activity.","Warning / Control Text","Administrative","Keep as warning/control","","","Leave unchanged unless final policy tone requires shortening.","Keep"
"DEC-047","01_drafting/decisions/EDrill_Family_Bursary_Decision_Log.md","2. Approval Rules","Drafting may proceed using the approved Phase 1 internal positions, but documents must not be moved to approved folders or treated as operational until the Launch Approval Checklist records all required Phase 1 approvals.","Warning / Control Text","Administrative","Keep as warning/control","","","Leave unchanged unless final policy tone requires shortening.","Keep"
"DEC-048","01_drafting/decisions/EDrill_Family_Bursary_Decision_Log.md","3. Executive Decisions","| ID | Decision area | Current recommended position | Status | Accountable owner | Decision / final wording | Evidence/source | Date |","Decision Needed","Minor","Decide","","Should this advisory or decision-like wording remain in the final issue version?","Update affected document after Alex/Committee answer.","Needs Alex Decision"
"DEC-049","01_drafting/decisions/EDrill_Family_Bursary_Decision_Log.md","3. Executive Decisions","| EX-01 | Scheme name | The EDrill Family Bursary | Provisional | Executive Sponsor | | Email chain / pending approval | |","Decision Needed","Minor","Decide","","Should this advisory or decision-like wording remain in the final issue version?","Update affected document after Alex/Committee answer.","Needs Alex Decision"
"DEC-050","01_drafting/decisions/EDrill_Family_Bursary_Decision_Log.md","3. Executive Decisions","| EX-02 | Scheme type | Internal company-funded discretionary education bursary | Approved | Executive Sponsor / Committee | Approved internally for Phase 1 operation, subject to the approved controls in this document | Management decision 2026-06-11 | 2026-06-11 |","Approval Evidence Needed","Administrative","Convert to approval evidence item","","What evidence, approver, and completion date should be recorded for this item?","Record completion evidence or keep as launch gate.","Needs Committee Approval"
"DEC-051","01_drafting/decisions/EDrill_Family_Bursary_Decision_Log.md","3. Executive Decisions","| EX-03 | Legal/funding entity | Energy Drilling Management Pte. Ltd. (EDMPL) | Approved | Finance / Executive Sponsor / Committee | EDMPL is the confirmed Phase 1 funding entity. Cost centre / GL code is a Finance administrative processing detail and is not a policy blocker. | Management decision 2026-06-11 | 2026-06-11 |","Already Decided / Needs Propagation","Minor","No action","Funding entity is Energy Drilling Management Pte. Ltd. / EDMPL.","","Leave unchanged if wording already reflects known decision.","Already Answered"
"DEC-052","01_drafting/decisions/EDrill_Family_Bursary_Decision_Log.md","3. Executive Decisions","| EX-04 | Launch date | 1 October 2026 | Provisional | Executive Sponsor | | Email chain | |","Decision Needed","Minor","Decide","","Should this advisory or decision-like wording remain in the final issue version?","Update affected document after Alex/Committee answer.","Needs Alex Decision"
"DEC-053","01_drafting/decisions/EDrill_Family_Bursary_Decision_Log.md","3. Executive Decisions","| EX-05 | Launch geography | Thailand only | Provisional | Executive Sponsor | | Email chain | |","Already Decided / Needs Propagation","Minor","No action","Phase 1 is Thailand-only; future expansion is later review only.","","Leave unchanged if wording already reflects known decision.","Already Answered"
"DEC-054","01_drafting/decisions/EDrill_Family_Bursary_Decision_Log.md","3. Executive Decisions","| EX-06 | Myanmar extension | Excluded for launch; review later | Provisional | Executive Sponsor | | Email chain | |","Already Decided / Needs Propagation","Minor","No action","Phase 1 is Thailand-only; future expansion is later review only.","","Leave unchanged if wording already reflects known decision.","Already Answered"
"DEC-055","01_drafting/decisions/EDrill_Family_Bursary_Decision_Log.md","3. Executive Decisions","| EX-07 | Maximum awards | Up to 6 bursaries per award year | Provisional | Executive Sponsor | | Email chain | |","Decision Needed","Minor","Decide","","Should this advisory or decision-like wording remain in the final issue version?","Update affected document after Alex/Committee answer.","Needs Alex Decision"
"DEC-056","01_drafting/decisions/EDrill_Family_Bursary_Decision_Log.md","3. Executive Decisions","| EX-08 | Public communication | LinkedIn and corporate website post effective 1 October 2026, after final Chairman/Committee/Communications pre-publication check and no fundraising wording | Provisional | Executive Sponsor / HR / Communications / Committee | Final communications approval remains a pre-publication check | Management decision 2026-06-11 | ...","Approval Evidence Needed","Administrative","Convert to approval evidence item","No ROS activation and no fundraising in Phase 1.","What evidence, approver, and completion date should be recorded for this item?","Record completion evidence or keep as launch gate.","Needs Committee Approval"
"DEC-057","01_drafting/decisions/EDrill_Family_Bursary_Decision_Log.md","4. Eligibility Decisions","| ID | Decision area | Current recommended position | Status | Accountable owner | Decision / final wording | Evidence/source | Date |","Decision Needed","Minor","Decide","","Should this advisory or decision-like wording remain in the final issue version?","Update affected document after Alex/Committee answer.","Needs Alex Decision"
"DEC-058","01_drafting/decisions/EDrill_Family_Bursary_Decision_Log.md","4. Eligibility Decisions","| EL-01 | Eligible EDrill employees | Thailand operations employees / crew assigned to ED1, ED2, T15, T16, GHTH, and EVE, subject to criteria | Provisional | Bangkok HR / Operations | | Email chain | |","Approval Evidence Needed","Administrative","Convert to approval evidence item","","What evidence, approver, and completion date should be recorded for this item?","Record completion evidence or keep as launch gate.","Needs Committee Approval"
"DEC-059","01_drafting/decisions/EDrill_Family_Bursary_Decision_Log.md","4. Eligibility Decisions","| EL-02 | Salary threshold | Monthly salary below THB 100,000 | Provisional | HR / Finance | | Email chain | |","Decision Needed","Minor","Decide","","Should this advisory or decision-like wording remain in the final issue version?","Update affected document after Alex/Committee answer.","Needs Alex Decision"
"DEC-060","01_drafting/decisions/EDrill_Family_Bursary_Decision_Log.md","4. Eligibility Decisions","| EL-03 | Salary definition | Base monthly salary plus fixed contractual allowances; exclude variable overtime unless Finance advises otherwise | Provisional | Finance / HR | | Decision questionnaire default | |","Warning / Control Text","Administrative","Keep as warning/control","","","Leave unchanged unless final policy tone requires shortening.","Keep"
"DEC-061","01_drafting/decisions/EDrill_Family_Bursary_Decision_Log.md","4. Eligibility Decisions","| EL-04 | Salary test date | Application closing date and award approval date | Provisional | HR / Finance | | Decision questionnaire default | |","Decision Needed","Minor","Decide","","Should this advisory or decision-like wording remain in the final issue version?","Update affected document after Alex/Committee answer.","Needs Alex Decision"
"DEC-062","01_drafting/decisions/EDrill_Family_Bursary_Decision_Log.md","4. Eligibility Decisions","| EL-05 | Minimum service for EDrill employees | Minimum continuous service required for all applicants; exact reference date to be aligned with application deadline and HR records | Provisional | HR / Executive Sponsor | User confirmed yes, minimum service applies to all | User clarification 2026-06-11 | 2026-06-11 |","Decision Needed","Minor","Decide","","Should this advisory or decision-like wording remain in the final issue version?","Update affected document after Alex/Committee answer.","Needs Alex Decision"
"DEC-063","01_drafting/decisions/EDrill_Family_Bursary_Decision_Log.md","4. Eligibility Decisions","| EL-06 | Child age | Child must be under 12, meaning the child must not turn 13 during the calendar year of award; for the first cycle, a child who turns 12 in 2026 remains eligible | Provisional | HR / Executive Sponsor | User clarified maximum child turns 12 in 2026, or under 12 | User clarification 2026-06-11 | 2026-06-11 |","Warning / Control Text","Administrative","Keep as warning/control","","","Leave unchanged unless final policy tone requires shortening.","Keep"
"DEC-064","01_drafting/decisions/EDrill_Family_Bursary_Decision_Log.md","4. Eligibility Decisions","| EL-07 | Child relationship | Include child, adopted child, stepchild, legal dependant, or child under legal guardianship if documented | Provisional | HR / Legal | | Decision questionnaire default | |","Decision Needed","Minor","Decide","","Should this advisory or decision-like wording remain in the final issue version?","Update affected document after Alex/Committee answer.","Needs Alex Decision"
"DEC-065","01_drafting/decisions/EDrill_Family_Bursary_Decision_Log.md","4. Eligibility Decisions","| EL-08 | Multiple children per family | A family may apply for multiple eligible children. Each child/application is means-tested and assessed separately under the approved criteria and the annual award cap. | Provisional | HR / Executive Sponsor | User confirmed one family can apply for multiple children and all are means-tested | User clarification 202...","Already Decided / Needs Propagation","Minor","No action","Families may apply for multiple children; each child/application is means-tested separately under the annual cap.","","Leave unchanged if wording already reflects known decision.","Already Answered"
"DEC-066","01_drafting/decisions/EDrill_Family_Bursary_Decision_Log.md","4. Eligibility Decisions","| EL-09 | Other education benefits | No double benefit for same child and same expense | Provisional | HR / Finance | | Decision questionnaire default | |","Decision Needed","Minor","Decide","","Should this advisory or decision-like wording remain in the final issue version?","Update affected document after Alex/Committee answer.","Needs Alex Decision"
"DEC-067","01_drafting/decisions/EDrill_Family_Bursary_Decision_Log.md","5. Schooling Decisions","| ID | Decision area | Current recommended position | Status | Accountable owner | Decision / final wording | Evidence/source | Date |","Decision Needed","Minor","Decide","","Should this advisory or decision-like wording remain in the final issue version?","Update affected document after Alex/Committee answer.","Needs Alex Decision"
"DEC-068","01_drafting/decisions/EDrill_Family_Bursary_Decision_Log.md","5. Schooling Decisions","| SC-01 | School country | Thailand only | Provisional | Executive Sponsor / HR | | Email chain | |","Already Decided / Needs Propagation","Minor","No action","Phase 1 is Thailand-only; future expansion is later review only.","","Leave unchanged if wording already reflects known decision.","Already Answered"
"DEC-069","01_drafting/decisions/EDrill_Family_Bursary_Decision_Log.md","5. Schooling Decisions","| SC-02 | Government schools | Included | Provisional | Executive Sponsor / HR | | Email chain | |","Decision Needed","Minor","Decide","","Should this advisory or decision-like wording remain in the final issue version?","Update affected document after Alex/Committee answer.","Needs Alex Decision"
"DEC-070","01_drafting/decisions/EDrill_Family_Bursary_Decision_Log.md","5. Schooling Decisions","| SC-03 | Private schools | Included | Provisional | Executive Sponsor / HR | | Email chain | |","Decision Needed","Minor","Decide","","Should this advisory or decision-like wording remain in the final issue version?","Update affected document after Alex/Committee answer.","Needs Alex Decision"
"DEC-071","01_drafting/decisions/EDrill_Family_Bursary_Decision_Log.md","5. Schooling Decisions","| SC-04 | International schools | Applicant must list the school attended; government and private schools in Thailand are included, and committee/Finance should assess cost reasonableness rather than exclude solely by label unless the Executive Sponsor approves an exclusion, cap, or separate rule | Provisional | Executive Sponsor / HR / Finance | User sai...","Warning / Control Text","Administrative","Keep as warning/control","","","Leave unchanged unless final policy tone requires shortening.","Keep"
"DEC-072","01_drafting/decisions/EDrill_Family_Bursary_Decision_Log.md","5. Schooling Decisions","| SC-05 | Special education schools | Included if located in Thailand and properly evidenced | Provisional | HR / Legal | | Decision questionnaire default | |","Decision Needed","Minor","Decide","","Should this advisory or decision-like wording remain in the final issue version?","Update affected document after Alex/Committee answer.","Needs Alex Decision"
"DEC-073","01_drafting/decisions/EDrill_Family_Bursary_Decision_Log.md","5. Schooling Decisions","| SC-06 | Homeschooling / online schooling | Excluded for first launch unless legally recognised and evidence is clear | Provisional | HR / Legal | | Decision questionnaire default | |","Warning / Control Text","Administrative","Keep as warning/control","","","Leave unchanged unless final policy tone requires shortening.","Keep"
"DEC-074","01_drafting/decisions/EDrill_Family_Bursary_Decision_Log.md","5. Schooling Decisions","| SC-07 | School evidence | Birth certificate or approved equivalent, plus school enrolment letter or confirmation; Finance verifies salary eligibility internally | Provisional | HR / Finance | User confirmed birth certificate and school enrolment letter; Finance already knows payslip/salary | User clarification 2026-06-11 | 2026-06-11 |","Already Decided / Needs Propagation","Minor","No action","EDrill employee payments go through normal payroll into the employee bank account as a payslip line item.","","Leave unchanged if wording already reflects known decision.","Already Answered"
"DEC-075","01_drafting/decisions/EDrill_Family_Bursary_Decision_Log.md","6. Award Value and Payment Decisions","| ID | Decision area | Current recommended position | Status | Accountable owner | Decision / final wording | Evidence/source | Date |","Decision Needed","Minor","Decide","","Should this advisory or decision-like wording remain in the final issue version?","Update affected document after Alex/Committee answer.","Needs Alex Decision"
"DEC-076","01_drafting/decisions/EDrill_Family_Bursary_Decision_Log.md","6. Award Value and Payment Decisions","| PAY-01 | EDrill award value | Up to THB 120,000 per awardee per year | Provisional | Executive Sponsor / Finance | | Email chain | |","Decision Needed","Minor","Decide","","Should this advisory or decision-like wording remain in the final issue version?","Update affected document after Alex/Committee answer.","Needs Alex Decision"
"DEC-077","01_drafting/decisions/EDrill_Family_Bursary_Decision_Log.md","6. Award Value and Payment Decisions","| PAY-02 | EDrill payment cadence | Quarterly, THB 30,000 per quarter | Provisional | Executive Sponsor / Finance | | Email chain | |","Decision Needed","Minor","Decide","","Should this advisory or decision-like wording remain in the final issue version?","Update affected document after Alex/Committee answer.","Needs Alex Decision"
"DEC-078","01_drafting/decisions/EDrill_Family_Bursary_Decision_Log.md","6. Award Value and Payment Decisions","| PAY-03 | labour-hire award value | Up to THB 8,000 per month | Provisional | Executive Sponsor / Finance / Legal | | Email chain | |","Decision Needed","Minor","Decide","","Should this advisory or decision-like wording remain in the final issue version?","Update affected document after Alex/Committee answer.","Needs Alex Decision"
"DEC-079","01_drafting/decisions/EDrill_Family_Bursary_Decision_Log.md","6. Award Value and Payment Decisions","| PAY-04 | Labour-hire award payment cadence | Quarterly, THB 24,000 per quarter based on THB 8,000 per month award value | Provisional | Finance / Executive Sponsor | User confirmed all awards paid quarterly | User clarification 2026-06-11 | 2026-06-11 |","Decision Needed","Minor","Decide","","Should this advisory or decision-like wording remain in the final issue version?","Update affected document after Alex/Committee answer.","Needs Alex Decision"
